Cor;Categoria;Especie;Numero;Data;Situacao;CorSituacao;Ementa;Acesso;
#3366CC;Institucional;Portaria PR;40;01/12/2025;Vigente;#007e5d;Institui o Programa de Desenvolvimento em Propriedade Industrial - PDPI, com vistas à promoção de projetos de pesquisa em temas que contribuam diretamente para a modernização equalificação das atividades desempenhadas pelo INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-40-2025.pdf;
#3366CC;Institucional;Portaria PR;39;01/12/2025;Revogado;#780116;Altera os arts. 2º e 4º da Portaria INPI/PR nº 29, de 25 de julho de 2025, que estabelece os critérios de recepção de requerimentos da fase I do Projeto-piloto de trâmite prioritário de marcas no âmbito do INPI.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-39-2025.pdf;
#3366CC;Institucional;Portaria PR;38;27/11/2025;Vigente;#007e5d;Torna público o Plano de Ação do Instituto Nacional da Propriedade Industrial - INPI, na sua versão atualizada.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-38-2025.pdf;
#3366CC;Institucional;Portaria PR;37;17/11/2025;Vigente;#007e5d;Dispõe sobre a fixação dos valores das bolsas de pesquisa no âmbito Programa de Desenvolvimento em Propriedade Industrial (PDPI) do Instituto Nacional da Propriedade Industrial (INPI).;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-37-2025.pdf;
#3366CC;Institucional;Instrução Normativa PR;5;09/01/2026;Vigente;#007e5d;Dispõe sobre o procedimento de apuração de infrações, aplicação e dosimetria de sanções administrativas cometidas durante a fase licitatória e de execução contratual, previstas nos arts. 155 a 163 da Lei nº 14.133, de 1º de abril de 2021, no âmbito do Instituto Nacional da Propriedade Industrial - INPI.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/in-pr-05-2026.pdf;
#3366CC;Institucional;Instrução Normativa PR;4;20/102025;Vigente;#007e5d;Institui a Comissão de Avaliação de Estágio Probatório dos Servidores do INPI - CAEPS e dispõe sobre regras para o acompanhamento e a avaliação de desempenho para fins de estágio probatório dos servidores nomeados para cargo de provimento efetivo do Instituto Nacional da Propriedade Industrial - INPI.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025in_04_autorizacao_de_alteracao_da_norma_de_avaliacao_de_estagio_probatorio_republicacao.pdf;
#CC2288;Marcas;Portaria PR;36;13/11/2025;Vigente;#007e5d;Altera o art. 19 da Portaria INPI/PR nº 08, de 17 de janeiro de 2022, que dispõe sobre a recepção e o processamento de pedidos e petições de marca e sobre o Manual de Marcas;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-36-portaria-sobre-a-criacao-de-novas-filas-de-exame-no-ambito-do-projeto-oposicao-2-0-para-marcas-republicacao.pdf;
#00AEEF;Contratos de Tecnologia e de Franquia;Portaria PR;35;24/10/2025;Vigente;#007e5d;Dispõe sobre as diretrizes de exame para averbação de contratos de cessão, de licença e de sublicença de pedidos e direitos de propriedade industrial, para registro de contratos de franquia, de master franquia e de subfranquia, de serviço de assistência técnica e científica, de topografia de circuito integrado e de transferência de tecnologia e para registro de faturas de serviço de assistência técnica e científica;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-35-republicacao.pdf;
#00AEEF;Contratos de Tecnologia e de Franquia;Portaria PR;34;24/10/2025;Vigente;#007e5d;Dispõe sobre o procedimento administrativo de averbação de licenças e cessões de direitos de propriedade industrial e de registro de contratos de transferência de tecnologia e de franquia;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-34-dispoe-sobre-o-procedimento-administrativo-de-averbacao-republicacao.pdf;
#3366CC;Institucional;Apostila;16;16/07/2025;Vigente;#007e5d;Retifica a Portaria INPI/PR nº 16, de 09 de junho de 2025;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/apostila-pr-16.pdf;
#5D3B8F;Patentes;Instrução Normativa DIRPA;3;30/09/2016;Vigente;#007e5d;Ementa: Estabelece procedimentos relacionados às exigências necessárias à instrução regular de um pedido de patente.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/in-dirpa-003-2016.pdf;
#5D3B8F;Patentes;Portaria DIRPA;16;24/09/2025;Revogado;#780116;Estabelece os critérios de recepção de requerimentos da fase V do Projeto-piloto PPH;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/portaria-16-de-24-09-2025.pdf;
#3366CC;Institucional;Portaria PR;2;18/03/2013;Revogado;#780116;Dispõe sobra a expedição de atos normativos pelas unidades administrativas centrais e descentralizadas;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/002-2013-pr-dispoe-sobra-a-expedicao-de-atos-normativos-pelas-unidades-administrativas-centrais-e-descentralizadas.pdf;
#3366CC;Institucional;Portaria PR;30;18/08/2025;Vigente;#007e5d;Altera a sigla da Coordenação-Geral deEconomia e Inovação no Regimento Internodo INPI aprovado pela PORTARIA INPI/PRNº 18, DE 16 DE JUNHO DE 2025.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-30-altera-a-sigla-da-coordenacao-geral-de-economia-e-inovacao.pdf;
#3366CC;Institucional;Portaria PR;31;28/08/2025;Vigente;#007e5d;Aprova o Relatório de Impacto á proteção de Dados Pessoais - RIDP;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-31-aprova-o-relatorio-de-impacto-a-protecao-de-dados-pessoais-ridp.pdf;
#3366CC;Institucional;Portaria PR;32;28/08/2025;Vigente;#007e5d;Aprova o Programa de Governança em Privacidade do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-32-aprova-o-programa-de-governanca-em-privacidade-do-2013-inpi.pdf;
#3366CC;Institucional;Portaria PR;33;05/09/2025;Vigente;#007e5d;Institui a Política de Gênero, Diversidade e Inclusão noâmbito do Instituto Nacional da Propriedade Industrial.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-33-institui-a-politica-de-genero-diversidade-e-inclusao-no-ambito-do-instituto-nacional-da-propriedade-industrial.pdf;
#5D3B8F;Patentes;Instrução Normativa DIRPA;2;26/06/2020;Revogado;#780116;Estabelece os procedimentos administrativos relativos à avaliação dos requerimentos de trâmite prioritário de processos de patente no âmbito da DIRPA.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/sei_0277901_instrucao_normativa_02-2020-revogada.pdf;
#CC2288;Marcas;Portaria PR;29;25/07/2025;Revogado;#780116;Estabelece os critérios de recepção de requerimentos da fase I do Projeto-piloto de trâmite prioritário de marcas no âmbito do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-29-estabelece-os-criterios-de-recepcao-de-requerimentos-da-fase-i-do-projeto-piloto-de-tramite-prioritario-de-marcas-no-ambito-do-inpi.pdf;
#CC2288;Marcas;Portaria PR;28;25/07/2025;Revogado;#780116;Dispõe sobre as modalidades do Projeto-piloto de trâmite prioritário de marcas no âmbito do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-28-dispoe-sobre-as-modalidades-do-projeto-piloto-de-tramite-prioritario-de-marcas-no-ambito-do-inpi.pdf;
#CC2288;Marcas;Portaria PR;27;25/07/2025;Vigente;#007e5d;Dispõe sobre o trâmite prioritário de processos de marca no âmbito do INPI e altera a Portaria INPI/PR nº 08, de 17 de janeiro de 2022;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-27-dispoe-sobre-o-tramite-prioritario-de-processos-de-marca-no-ambito-do-inpi-e-altera-a-portaria-inpi-pr-no-08-de-17-de-janeiro-de-2022.pdf;
#3366CC;Institucional;Portatia PR;26;25/07/2025;Vigente;#007e5d;Dispõe sobre a edição de atos normativos no âmbito do INPI, constituindo seu marco regulatório;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-26-autorizacao-de-normatizacao-da-edicao-de-atos-normativos-do-inpi.pdf;
#CC2288;Marcas;Portaria PR;25;23/07/2025;Vigente;#007e5d;Dispõe sobre parâmetros para comprovação do alto renome da marca no Brasil e altera a Portaria INPI/PR nº 08, de 17 de janeiro de 2022;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-25-alteracao-de-portaria-sobre-parametros-para-comprovacao-do-alto-renome.pdf;
#3366CC;Institucional;Portaria PR;24;22/07/2025;Vigente;#007e5d;Realoca, transforma cargos, altera denominação e vinculação de unidades do Instituto Nacional da Propriedade Industrial - INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-24-realoca-transforma-cargos-altera-a-denominacao-de-unidades-do-instituto-nacional-da-propriedade-industrial-inpi-republicacao.pdf;
#3366CC;Institucional;Portaria PR;23;21/07/2025;Vigente;#007e5d;Aprova os Relatórios Trimestrais de Avaliação de Resultados do Programa de Gestão e Desempenho (PGD-INPI);https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-23-publicacao-dos-relatorios-de-avaliacao-de-resultados-do-programa-de-gestao-do-inpi-areas-finalisticas-2024-boletim-cgtec-dirpa-dirma-cgtec.pdf;
#3366CC;Institucional;Portaria PR;22;18/07/2025;Vigente;#007e5d;Aprova os Relatórios Trimestrais de Avaliação de Resultados do Programa de Gestão e Desempenho (PGD-INPI);https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-22-aprova-relatorios-de-avaliacao-de-resultados-do-programa-de-gestao-do-inpi-4o-quarto-2023-boletim-dirad-direx-gab-republicado.pdf;
